categorie,designation,unite,prix_bas,prix_moyen,prix_haut,source,notes,groupe_variante,est_defaut
Electricite,Tableau electrique equipe disjoncteur GTL,forfait,1700,1917,2050,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Coffret communication RJ45,forfait,300,363,380,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Cable R2V 2G16mm2 alimentation tableau,forfait,410.48,410.48,410.48,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,VMC hygroreglable + gaines + bouches,forfait,1984.23,1984.23,1984.23,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Saignees distribution circuits + rebouchage,forfait,1100,1348,1700,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Point lumineux simple allumage,u,74,100,185,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Spot LED blanc orientable dimmable,u,48,55,75,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Prise 2P+T 10/16A standard,u,59,75,80,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Prise RJ45 blindee cat6,u,108.25,108.25,108.25,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Point lumineux va-et-vient,u,127,220,460,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Point lumineux telerupteur 3 boutons,u,326.98,326.98,326.98,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Prise directe 2P+T four,u,106,130,175,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Prise directe 2P+T lave-vaisselle,u,106,130,175,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Alimentation directe 32A plaque cuisson,u,135.52,135.52,135.52,LAMBA17 I-26-06-9 2026,Devis reel,,0
Electricite,Refection TGBT aux normes,forfait,2500,2500,2500,SFTJ 130226 2026,Devis reel,,0
Maconnerie,Demolition mur epaisseur 20cm,m2,108,108,108,EMRT 82 2026,Devis reel,,0
Maconnerie,Realisation fondations mur ferraillage,ml,55,55,55,EMRT 82 2026,Devis reel,,0
Maconnerie,Montage parpaings 15x20x50,m2,53,53,53,EMRT 82 2026,Devis reel,,0
Geometre,Prime fixe ouverture de dossier,forfait,100,131,180,Sit&A Conseil 2025-2026,Devis reel,,0
Geometre,Archivage gestion electronique,forfait,80,95,120,Sit&A Conseil 2025-2026,Devis reel,,0
Geometre,Deplacement forfaitaire sur site,forfait,50,63,100,Sit&A Conseil 2025-2026,Devis reel,,0
Geometre,Recherche cadastrale de riverain,u,14,14,20,Sit&A Conseil 2025,Devis reel,,0
Geometre,Convocation de riverains,u,7,7,10,Sit&A Conseil 2025,Devis reel,,0
Geometre,Recherche des limites avec titres,forfait,100,100,150,Sit&A Conseil 2025,Devis reel,,0
Geometre,Redaction PV Bornage,forfait,200,200,300,Sit&A Conseil 2025,Devis reel,,0
Geometre,Modification du parcellaire cadastral,forfait,142,142,200,Sit&A Conseil 2025,Devis reel,,0
Geometre,Releve des sommets des limites,u,19,19,30,Sit&A Conseil 2025,Devis reel,,0
Geometre,Certificat Loi Carrez,forfait,150,195,250,Sit&A Conseil 2025,Devis reel,,0
Huissier,Constat d'huissier avant travaux,forfait,800,1115,1400,HuisAlliance KFM 2026,Devis reel,,0
Huissier,Constat d'huissier apres travaux,forfait,800,1115,1400,HuisAlliance KFM 2026,Devis reel,,0
Huissier,Constat affichage permis construire,forfait,460,552,700,HuisAlliance KFM 2026,Devis reel,,0
Diagnostiqueur,Pack diagnostics complet,u,300,400,550,Diagome Niort 2025,Devis reel,,0
Diagnostiqueur,Diagnostic amiante,u,80,100,150,Diagome Niort 2025,Devis reel,,0
Diagnostiqueur,Mesurage Loi Carrez,u,50,67,90,Diagome Niort 2025,Devis reel,,0
Peinture,Peinture airless murs et plafond,m2,8,12,18,JOTRAU Kevin 2026,Devis reel,,0
Chauffage,PAC air-air multi-split 4 interieur,forfait,6000,9000,14000,JOTRAU Kevin 2026,Devis reel,,0
Chauffage,Radiateur electrique mural,u,200,350,550,JOTRAU Kevin 2026,Devis reel,,0
Chauffage,Seche serviette electrique,u,150,250,450,JOTRAU Kevin 2026,Devis reel,,0
Etancheite,Spec etancheite sous carrelage,m2,8,12,18,JOTRAU Kevin 2026,Devis reel,,0
Recyclage,Location journaliere benne 30m3,jour,4,4,4,METAL FER ENVIRONNEMENT DE04260040 2026,Devis reel,,0
Recyclage,Depot benne ouverte 30m3,forfait,120,120,120,MÉTAL FER 2026,Devis reel,,0
Recyclage,Rotation benne ouverte 30m3,forfait,120,120,120,MÉTAL FER 2026,Devis reel,,0
Recyclage,Retrait benne ouverte 30m3,forfait,120,120,120,MÉTAL FER 2026,Devis reel,,0
Recyclage,Traitement DIB mélange déchets,t,200,200,200,MÉTAL FER 2026,Devis reel,,0
Architecture,Étude de faisabilité,forfait,1612,1612,1612,FANUM ARCHITECTURE 2026,Devis reel,,0
Architecture,Esquisse,forfait,3224,3224,3224,FANUM ARCHITECTURE 2026,Devis reel,,0
Architecture,Demande d'autorisation d'urbanisme,forfait,4836,4836,4836,FANUM ARCHITECTURE 2026,Devis reel,,0
Couvreur,Pose toiture bac acier isole,m2,45,65,95,EI COLLARD GAETAN 05-26 2025,Devis reel,,0
Sanitaire,Baignoire fourniture pose,u,450,530,630,SFTJ 130226 2026,Devis reel,,0
